;Place_Id;News_No;News;Link
0;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Pangandaran - Indah namun membahayakan, boleh jadi itulah istilah yang menggambarkan lokasi bekas tambang batu kapur di Sindangsaei, Banjarharja, Kalipucang, Pangandaran. Bekas tambang kapur ilegal ini berada di Dusun Sindangsaei, Desa Banjarharja, Kecamatan Kalipucang, Kabupaten Pangandaran, Jawa Barat. Gunung kapur yang sebelumnya rimbun oleh vegetasi dan menjadi habitat berbagai satwa terutama burung khas dataran rendah, kini mengalami kerusakan hampir separuh bagiannya. Kondisi bukit kapur itu saat ini terlihat riskan. Karena bagian bawah bukit dikeruk, sementara bagian atasnya tidak.  Warga sekitar khawatir bekas galian di pinggiran jalan raya menuju pantai Pangandaran ini justru terlihat indah oleh pengendara yang melintas. Tak jarang pengendara sengaja berhenti sekedar untuk berfoto.  Warga sekitar mengatakan, sekitar setahun lalu, ketika penambangan ilegal masih berlangsung. Terjadi longsor di bukit kapur. Bongkahan batu kapur sebesar rumahnya jatuh dari atas bukit. Beruntung bongkahan besar itu mendarat persis di tanah kosong samping rumahnya. Beruntung sekitar empat bulan lalu, aparat Satuan Reserse Kriminal Polres Ciamis menutup aktivitas penambangan batu kapur ilegal tersebut. Polisi kala itu mengamankan tiga orang yang berada di balik aktifitas penambangan ilegal tersebut. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/fototravel/d-4903248/bekas-tambang-kapur-ilegal-ini-indah-tapi-berbahaya
1;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Seorang turis bertindak sembrono saat berfoto. Perempuan yang belum diketahui namanya itu duduk di bibir tebing yang langsung mengarah ke pantai tanpa pengaman. Perempuan yang mengenakan celana pendek dan kaus merah muda itu berada di atas tebing di Pedra da Gavea, Rio de Janeiro, Brasil. Tebing itu memiliki tinggi 2.800 kaki di atas permukaan laut. Dari video yang diunggah pada (16/2/2020), suara laki-laki yang sepertinya merekam dia, bilang ayo, lagi seolah meminta perempuan itu kian menepi ke arah bibir tebing. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Video itu pun menjadi viral dan telah direspons beragam oleh warganet. Sebanyak 14.000 akun memberikan tanda like, namun sebagian lain menyebut aksi itu terlalu berbahaya. ""Saya menjadi gelisah setelah menyaksikan video itu,"" ujar salah satu komentator seperti dikutip The Sun.  ""Nadi saya langsung berpacu seolah saya yang ada di atas tebing itu."" [Gambas:Twitter] ""Melihat ini membuat saya merasa sakit."" ""Mengambil risiko hanya untuk mengambil foto atau video? Dia memang ingin mati atau dia gila."" Kalau disimak, bukan sekali itu turis berpose di atas tebing tersebut. Sudah cukup banyak traveler memamerkan aksi mereka berada di atas tebing tersebut.  
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4903246/sembrono-perempuan-ini-di-berpose-di-bibir-tebing-tanpa-pengaman
2;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Malaysia mulai memberlakukan lockdown untuk mencegah penyebaran virus Corona atau COVID-19. Warga Malaysia dilarang ke luar negeri, pengunjung dari negara lain yang masuk dibatasi, sejumlah tempat publil dan lokasi wisata ditutup.  Pemerintah Negeri Jiran itu menerapkan lockdown setelah jumlah kasus virus Corona meningkat menjadi 790 kasus, 2 di antaranya meninggal dunia. Begitulah data dari Kementerian Kesehatan Malaysia. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Lockdown yang dilakukan Malaysia akan berlangsung selama 14 hari dan pelanggar kebijakan tersebut akan dijatuhi hukuman 2 tahun penjara. Menara Kembar Petronas menjadi ikon Malaysia dan sekaligus jadi daya tarik wisatawan. Selama tahun 1998 - 2004 menara Petronas menjadi yang tertinggi di dunia. Baru setelah 2004 ada Burj Khalifa di Dubai sebagai menara tertinggi di dunia. Taman bermain paling populer di Malaysia, Legoland memiliki dua wahana yakni Legoland Theme Park dan Legoland Water Park. Taman bermain ini dilengkapi fasilitas dan permainan yang menawan. Hampir semua bangunan di legoland didesain seperti tumpukan lego. Daya tarik tempat wisata ini adalah bangunan pagoda yang terdiri dari 7 lantai. Desainnya merupakan perpaduan antara budaya China dan Thailand. Di dalamnya terdapat 10.000 patung Buddha yang terbuat dari pualam dan perunggu. Di kompleks ini juga memiliki patung perunggu Dewi Kuan Yin setinggi 30,2 meter. Ikon dan wisata populer di Selangor. Tempat ini merupakan tempat suci bagi umat Hindu, setiap tahunnya aka nada acara festival agama Hindu Thaipusam. Festival ini selalu diramaikan oleh umat Hindu dari seluruh dunia. Batu Caves adalah gua batu kapur dengan 3 gua utama dan beberapa gua kecil disekitarnya, untuk memasuki tempat ini anda harus menaiki 272 anak tangga yang curam. Di tempat ini juga terdapat patung Dewi Murungan berlapiskan emas dengan tinggi 42,7 meter. Las Vegasnya Malaysia, daerah perbukitan berlokasi 51 km dari Kuala Lumpur. Di dalamnya terdapat theme park, casino, resort, tempat wisata alam, hingga tempat perbelanjaan. Genting Highland sendiri memilki julukan The City Of Entertainment. Menawarkan sensasi dengan gondola, yang melayang dari ketinggian 709 meter di atas permukaan laut. Sepanjang perjalanan yang kurang lebih memakan waktu 20 menit, anda akan diberikan panorama alam berupa hutan tropis yang memesona. Bertempat di Serawak, daya tarik dari Gunung Mulu adalah terdapat dua gua yaitu Cave of The Winds, keindahan stalaktit dan stalagmite di langit-langit gua, dan Deer Cave, sebuah sarang kelelawar menggantung hingga 2 km di atas langit gua. Pulau terbesar kedua di wisata Taman Tunku Abdul Rahman, Sabah. Daya tarik dari pulau ini adalah air lautnya yang jernih sehingga bagi suka snorkelingakan dimanjakan penglihatannya dengan keindahan alam bawah laut. Berada di lokasi Istana Negara yang lama dengan struktur dan desain yang megah. Penjaga tempat ini menaiki kuda layaknya menjaga Istana Ratu Inggris. Museum ini sekarang menjadi tempat bagi pameran yang menggambarkan sejarah latar belakang negara Malaysia. Di tempat ini kita bisa berlibur sekaligus mempelajari sejarah dari MalasMemiliki 4 galeri utama di dalamnya yaitu Early History, The Malay Kingdom, The Colonial Era, dan Malaysia Today. Arsitektur bangunan ini mirip dengan arsitektur khas Minangkabau.  Mengadopsi gaya arsitektur Timur Tengah, keunikan masjid ini ada pada lokasinya yang menjorok ke Danau Putrajaya, oleh sebab itu masjid ini dijuluki Masjid Terapung. Di tempat ini selain beribadah, anda juga bisa menyusuri Danau Putrajaya dengan menyewa perahu setempat.  Itulah 11 tempat wisata Malaysia yang akan dirindukan oleh wisatawan, semoga semua tempat di dunia lekas membaik seperti dahulu!   
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/international-destination/d-4947423/malaysia-lockdown-ini-tempat-wisata-yang-dirindukan
3;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Pemerintah DIY melakukan penyemprotan disinfektan di kawasan Malioboro. Selain secara manual, penyemprotan juga dilakukan menggunakan drone, keren juga ya? Penyemprotan disinfektan oleh BPBD DIY dilakukan dari kawasan Malioboro hingga Pasar Beringharjo. Sedangkan penyemprotan disinfektan menggunakan drone dilakukan untuk menjangkau titik yang sulit dijangkau lewat penyemprotan manual. Sekretaris Daerah Istimewa Yogyakarta, Kadarmanta Baskara Aji mengatakan bahwa, Malioboro menjadi salah satu pusat kegiatan, baik kegiatan pariwisata maupun sektor ekonomi. Karena itu, perlu perhatian khusus untuk memastikan Malioboro tetap steril.""Jadi, kita ingin seluruh masyarakat di DIY dan komunitas-komunitas bersama-sama untuk melakukan pembersihan. Kalau perlu, penyemprotan disinfektan ini bisa kita laksanakan dengan masif dan di mana-mana dengan secara kontiyu, mudah-mudahan DIY steril dari virus (Corona),"" katanya saat ditemui wartawan di kawasan Malioboro, Jumat (20/3/2020).Terkait pelibatan Remote Pilot Federasi Aero Sport Indonesia (FASI) DIY, untuk menyemprot disinfektan menggunakan drone, Aji menyebut hal itu sebagai bentuk sinergitas Pemda dengan komunitas-komunitas. Terlebih, titik-titik yang sulit dijangkau dengan penyemprotan secara manual dapat dijangkau dengan drone. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   ""Saya kira, ada tempat-tempat yang tidak memungkinkan disemprot dengan mobil atau manual oleh orang karena ada tempat-tempat tinggi yang sulit dijangkau. Karena itu, penggunaan drone jadi alternatif untuk (menyemprot disinfektan) ke tempat-tempat yang tidak memungkinkan,"" ucapnya. Aji menambahkan, bukan tidak mungkin ke depannya Pemda DIY akan menggandeng Remote Pilot FASI DIY dalam kegiatan penyemprotan disinfektan. Terlebih, jika penyemprotan disinfektan dengan drone dirasa lebih efektif.""Tapi tentu juga karena drone dirasa efektif, lebih mudah, jadi nanti saya kora bisa terus menerus (dilakukan penyemprotan disinfektan menggunakan drone),"" katanya.Sementara itu, Koordinator Remote Pilot FASI DIY, Kristianus Nugroho Budiantoro menuturkan, pihaknya ikut serta dalam penyemprotan disinfektan sebagai bentuk dukungan untuk mengurangi penyebaran wabah virus Corona di Yogyakarta. Namun, untuk kali ini pihaknya baru menerbangkan 1 drone saja sebagai uji coba.""Hari ini bawa 3 drone, yang terbang 1 dulu untuk trial dan beberapa hari ke depan kita melalukan hal yang sama. Tadi kita ngetes jaraknya 300 meter untuk sekali flight dengan ketinggian 4 sampai 5 meter,"" katanya. Nugroho melanjutkan, setiap satu drone nantinya membawa cairan disinfektan sekitar 10-20 liter. Di mana cairan tersebut berasal dari BPBD DIY.""Yang kita gunakan ini yang 10 liter bisa mencapai 1 hektar dengan waktu 15 menit. Ini merupakan drone spray pertanian cuma kami modifikasi,"" ucapnya. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947428/kawasan-malioboro-disemprot-disinfektan-dengan-drone-dan-manual
4;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Candi Borobudur telah ditutup sementara mulai hari ini sampai 29 Maret 2020. Namun, masih ada turis yang datang karena tidak tahu informasi penutupan candi. Dalam pantauan detikcom, Candi Borobudur, Kabupaten Magelang, Jawa Tengah tampak sepi. Kawasan yang biasanya ramai, kini sepi tak ada pengunjung pasca-penutupan sementara terkait virus Corona. Terlihat pintu utama masuk jalur pengunjung ditutup. Pagar tersebut tampak ditutup dan dikunci. Lokasi area parkir mobil pribadi juga tampak sepi. Kios-kios pedagang yang berada di dekat lokasi parkiran juga tutup. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Pemandangan serupa terlihat di loket masuk untuk turis domestik maupun mancanegara. Tak ada pengunjung yang terlihat tapi masih ada karyawan berjaga di lokasi. Sementara itu petugas kebersihan terlihat sibuk bersih-bersih di kawasan Candi Borobudur. Penutupan Candi Borobudur ini berlaku mulai hari ini hingga Minggu (29/3). Meski penutupan ini sudah diumumkan, ternyata ada beberapa pengunjung yang datang karena tidak mendapat informasi. Mereka kecewa karena sudah sampai di Magelang, namun Borobudur tutup. ""Kami berdua datang dari Jakarta. Main ke Yogya terus main ke sini (Candi Borobudur). Kami baru tahu kalau ditutup sampai sini, tapi di Google maps masih buka,"" ujar Tejo, wisatawan dari Jakarta saat ditemui di kompleks Candi Borobudur, Jumat (20/3/2020). Tejo mengaku kecewa atas penutupan ini. Saat berada di Yogyakarta, dia mendengar informasi Candi Borobudur masih dibuka untuk umum. ""Kami dengar informasi di Yogya kalau masih buka, sampai sini baru tahu kalau tutup,"" tuturnya. Penutupan ini juga berimbas pada pendapatan pedagang toko Sanding Seni di kawasan Candi Borobudur. Seperti Kristyono yang mengaku mengalami penurunan omzet sejak awal Maret. ""Sejak awal Maret turun 25 persen. Saya mengetahui kalau hari ini Borobudur ditutup kemarin sore, biasanya yang ke sini turis domestik. Kalau turis mancanegara melihat lukisan,"" kata Kristyono di depan Pintu 7 Candi Borobudur. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947419/borobudur-ditutup-sementara-pengunjung-tetap-ada-yang-datang
5;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Prambanan dan Ratu Boko telah ditutup sementara untuk mencegah penyebaran virus Corona. Suasana Candi Prambanan kini pun tampak lengang. Penutupan berlaku mulai hari ini hingga tanggal 29 Maret mendatang. Pantauan detikcom pada Jumat (20/3) siang, suasana taman wisata Candi Prambanan tampak sepi. Tidak terlihat ada pengunjung di kawasan Candi Prambanan. Tampak satu dua mobil yang hendak masuk ke lokasi wisata namun tidak jadi karena tutup. Lokasi parkir dan tempat jualan juga tampak pun sepi. Gerbang masuk area Candi Prambanan atau zona 1 pun ditutup. Terlihat beberapa satpam masih berjaga di beberapa pos. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Meski begitu, beberapa petugas kebersihan tampak hilir mudik di lokasi. Mereka terlihat memakai masker dan melakukan pembersihan di area taman wisata Candi Prambanan. Sebelumnya, Direktur Utama PT TWC, Edy Setijono menjelaskan, keputusan penutupan operasional akan dilakukan selama 9 hari. Keputusan ini diambil setelah berkoordinasi dengan Pemerintah Provinsi Jateng dan Pemerintah Provinsi DIY yang berada di wilayah kerja PT TWC. ""Kementerian sebagai Pemangku kepentingan kepariwisataan nasional mengingat Candi Borobudur merupakan destinasi Super Prioritas, selain itu telah dilakukan konsultasi dengan Kementerian BUMN sebagai acuan regulasi bagi BUMN,"" kata Edy. Keputusan ini juga sudah dikonsultasikan dengan Menteri Pariwisata dan Ekonomi Kreatif. Edy mengtakan, hal ini dilakukan untuk mencegah penyebaran COVID-19. Tak hanya Candi Prambanan, Pementasan Sendratari di area Ramayana Prambanan serta seluruh restauran yang dikelola PT TWC pun juga ditutup. ""Kami sudah komunikasikan keputusan ini kepada Kementerian BUMN dan Kementerian Pariwisata dan Ekonomi Kreatif serta selanjutnya akan mengikuti kebijakan pemerintah terkait pandemi COVID-19 yang masih terus berlangsung,"" ucap Edy menambahkan. Langkah penutupan sementara operasional kawasan Taman Wisata Candi beserta fasilitasnya ini juga diikuti dengan upaya preventif. Yakni meliputi penyemprotan disinfektan di seluruh kawasan TWC serta menjaga kebersihan lingkungan kerja yang diikuti oleh segenap karyawan. ""Kami akan terus menjaga lingkungan di kawasan agar tetap steril dan bersih dari COVID-19. Semoga situasi ini akan terus membaik, sehingga perekonomian dan dunia pariwisata akan kembali pulih,"" ucapnya. Langkah yang diambil oleh PT TWC sudah sesuai protokol. Selain itu, manajemen juga akan terus melakukan evaluasi setiap hari. ""Management akan melakukan evaluasi dan pemantauan setiap hari terkait dengan kebijakan penutupan operasional ini,"" tegasnya 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947409/tak-ada-turis-datang-candi-prambanan-lengang
6;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Taiwan melarang masuknya pelancong dari luar negeri masuk ke negaranya untuk mencegah penyebaran virus Corona. Kebijakan ini berlaku untuk hampir seluruh turis asing kecuali yang memiliki izin tinggal tetap (permanent resident) dan diplomat. Hal ini disampaikan Pemerintah Taiwan pada Rabu (18/3/2020). Dilansir dari Channel News Asia, keputusan ini diambil usai kasus infeksi virus Corona melonjak di negara tersebut. Mereka berhasil mengontrol penularan Corona di dalam negeri namun angka penularan ini meningkat justru dari orang asing, termasuk dari Eropa yang masuk ke negara itu. Taiwan melaporkan telah menemukan 77 kasus Corona dimana selama dua hari terakhir ini bertambah banyak dari orang asing. Penutupan akses masuk untuk turis asing ini akan dimulai tengah malam hari ini. Menteri Kesehatan Taiwan Chen Shih-chung juga mengumumkan aturan yang mewajibkan setiap orang yang masuk ke Taiwan harus dikarantina di rumah selama 14 hari. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Selain melarang turis asing masuk, Pemerintah Taiwan juga mengimbau warga negara Taiwan tidak pergi ke luar negeri apabila tak ada urusan mendesak. Pemerintah belum mengumumkan sampai kapan aturan ini akan berlaku. Sementara itu, Menteri Luar Negeri Taiwan Joseph Wu mengatakan bahwa negaranya akan bekerjasama dengan Amerika Serikat (AS) untuk memerangi Corona. Kerjasama itu meliputi penelitian dan produksi vaksin. Sampai saat ini AS telah mengirimkan 300 ribu pakaian pelindung sementara Taiwan mengekspor 100 ribu masker ke AS. ""Ini melambangkan hubungan dekat antara Taiwan dan Amerika Serikat, dan merupakan upaya bersama untuk memerangi penyakit ini. Kami berharap untuk bergandengan tangan untuk berkontribusi pada masyarakat internasional,"" kata Wu. Sebelumnya Taiwan pada akhir Januari melarang ekspor masker. Mereka fokus meningkatkan produksi dalam negeri menjadi 11 juta masker. Menteri Kesehatan Chen mengatakan pemerintah akan meningkatkan jumlah itu menjadi 15 juta dalam beberapa hari mendatang. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947365/giliran-taiwan-yang-tutup-akses-masuk-turis-asing
7;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Singapura beberapa waktu lalu memperketat traveler yang masuk ke negaranya. Per Senin, 16 Maret 2020 mulai pukul 12 malam, mereka yang baru melakukan perjalanan ke negara-negara ASEAN, Jepang, Swiss atau Inggris dalam 14 hari terakhir harus karantina diri. Aturan ini malah membuat penumpang maskapai Garuda Indonesia sempat membludak, pesawat tiba-tiba penuh penumpang yang ingin menuju Singapura. Hal ini jelas membuat Garuda kaget. ""Kami juga cukup kaget juga ketika diumumkan misalnya Singapura akan mengenakan siapapun yang masuk per tanggal tertentu waktu itu kalau nggak salah hari Selasa masuk akan kena isolasi 14 hari sampai sebelumnya tiba-tiba full pesawat kita malah kita tambah kalau dengan permintaan untuk terbang ke Singapura lewat pakai Garuda tinggi sekali hari itu,"" ujar Direktur Utama Garuda Indonesia Irfan Setiaputra dalam blak-blakan bersama detikcom. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   ""Saya nggak katakan (Garuda Indonesia) dapat berkah, tapi memang jadi pertanyaan signifikan kok bisa banyak yang ke Singapura. Jangan-jangan banyak masyarakat Indonesia yang memutuskan berdiam di Singapura atas alasan apapun,"" tambahnya. Aturan mengkarantina diri sendiri atau stay home notice (SHN) ini berlaku untuk semua pengunjung di Singapura, termasuk penduduk Singapura, dengan riwayat perjalanan mengunjungi negara ASEAN (kecuali Malaysia untuk perlintasan darat dan laut), Jepang, Swiss, atau Britania Raya. Sebagai syarat, pengunjung juga wajib menyertakan bukti tempat tinggal selama karantina 14 hari. Otoritas Singapura akan melakukan pengecekan terhadap wajib SHN (Stay Home Notice) dan melakukan penegakan hukum terhadap yang melanggar. Jika terbukti tidak mematuhi SHN selama berada di Singapura, sesuai dengan Infectious Diseases Act Singapura maka akan dikenakan hukuman berupa denda sampai dengan 10.000 SGD dan/atau penjara sampai dengan 6 bulan. Tonton Blak-blakan dengan Dirut Garuda Irfan Setiaputra di bawah ini:  [Gambas:Video 20detik]   
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947607/bos-garuda-kaget-saat-pesawat-ke-singapura-tiba-tiba-full
8;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Pencegahan penyebaran virus Corona terus gencar dilakukan. Kali ini disinfektan disemprotkan ke sejumlah area publik Badung, Bali. Saat ini ada 12 titik yang akan disemprot disinfektan mulai dari taman patung Kuda hingga Pura Desa. Pencegahan penyebaran wabah virus Corona ini merupakan program pemerintah Badung. ""Ya kan ini memang kita dari program pemerintah Badung. Satagas Penanganan Covid di Badung melakukan langkah-langkah pencegahan penyemprotan disinfektan,"" kata Sekertaris Daerah Kabupaten Badung I Wayan Adi Arnawa kepada detikcom saat di wawancara, Jumat (20/3/2020). 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   Penyemprotan desinfektan ini akan terus berlanjut terutama di area yang sering digunakan oleh masyarakat. Mulai dari tempat pemelastian hingga Pura. ""Hari ini serentak ada beberapa titik 12 titik di Badung yang akan dilakukan penyemprotan jadi itu akan berlanjut terus terutama di fasilitas publik di tempat-tempat pemelastian termasuk di pura desa. Pura desa itu kan tempat berkumpulnya orang-orang, karena pada waktu melasti, orang ngumpul di pura desa ini, itu juga disemprotkan itu,"" kata Adi. Sebanyak 3.000 liter disinfektan yang akan disemprotkan di fasilitas area publik di wilayah Badung untuk membasmi virus Corona. Jika desinfektan habis, maka akan diisi kembali. ""Ada 3.000 liter obat, nanti kalau kurang akan diisi lagi, sampai mencukupi,"" tambah Adi. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947427/cegah-corona-taman-kota-hingga-pura-di-bali-disemprot-disinfektan
9;;;"Ayo share cerita pengalaman dan upload photo album travelingmu di sini.

											Silakan Daftar atau Masuk
 
    ADVERTISEMENT
 Pemerintah Provinsi (Pemprov) DKI Jakarta memutuskan untuk menutup 14 jenis wisata hiburan dan rekreasi. Hal ini disampaikan Kepala Dinas Pariwisata dan Ekonomi Kreatif (Kadisparekraf) DKI Jakarta, Cucu Ahmad Kurnia dalam konferensi pers, Jumat (20/3/2020) malam. ""Mengingat penyebaran Corona virus yang makin mengkhawatirkan, kami akan melakukan penutupan sementara kegiatan operasional usaha hiburan dan rekreasi selama 2 pekan terhitung 23 Maret sampai 5 April,"" kata Cucu. Selain itu, Pemprov DKI juga mengimbau untuk tidak melaksanakan kegiatan wisata MICE saat ini. 
    ADVERTISEMENT
   
        SCROLL TO RESUME CONTENT
   ""Kami juga mengimbau bagi penyelenggara kegiatan MICE baik itu ballroom hotel atau balai pertemuan, untuk menunda penyelenggaraan event dan atau kegiatan sampai batas waktu yang ditentukan,"" tutup Cucu. Berikut 14 jenis wisata yang ditutup sementara di Jakarta: - Klab malam - Diskotek - Pub/ Musik hidup - Karaoke Keluarga - Karaoke Executive - Bar/ Rumah minum - Griya pijat - Spa - Bioskop - Bola gelinding - Bola sodok - Mandi uap - Seluncur - Arena permainan ketangkasan manual mekanik atau elektronik untuk orang dewasa. Sebelumnya, Pemprov DKI telah menutup sejumlah tempat wisata seperti kawasan Monumen Nasional (Monas), Ancol, berbagai museum, serta Kebun Binatang Ragunan. Usaha ini dilakukan untuk mencegah penyebaran Corona di Jakarta. Gubernur DKI Jakarta Anies Baswedan hari ini menetapkan status tanggap darurat bencana di Jakarta. ""Hari ini kita menetapkan bahwa ditetapkan tanggap darurat bencana wabah COVID-19,"" kata Anies dalam konferensi pers di Balai Kota Jakarta, Jumat (20/3/2020). Status ini berlaku hingga 14 hari ke depan. Perkembangan virus Corona di Jakarta bakal menentukan diperpanjang atau tidaknya status tanggap darurat bencana ini. ""Masa waktu 14 hari ke depan dan bisa diperpanjang menyesuaikan dengan kondisi,"" kata Anies. Anies menyebut situasi di Jakarta amat berbeda dengan beberapa pekan lalu. Jumlah korban tewas karena Corona meningkat. ""Situasi di Jakarta beda dengan 2 pekan lalu ataupun pekan lalu. Jumlah yang wafat cukup banyak dan kita berduka,"" jelas Anies. 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT
 
ADVERTISEMENT";https://travel.detik.com/travel-news/d-4947640/dki-jakarta-tutup-14-jenis-wisata-termasuk-klab-malam
